year,rank,title,distributor,rental_usd,rental_display,film_wikipedia_url,source_page_url,source_table,poster_lookup_status,poster_wikipedia_page_title,poster_wikipedia_file,poster_image_url,poster_thumbnail_url,poster_source_page_url,poster_file_page_url,local_poster_path,last_updated
1951,1,David and Bathsheba,20th Century Fox,7000000,"$7,000,000",https://en.wikipedia.org/wiki/David_and_Bathsheba_(film),https://en.wikipedia.org/wiki/List_of_1951_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1951,ok,David and Bathsheba (film),David Bathsheba.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/7/70/David_Bathsheba.jpg/250px-David_Bathsheba.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/7/70/David_Bathsheba.jpg/250px-David_Bathsheba.jpg,https://en.wikipedia.org/wiki/David_and_Bathsheba_%28film%29,https://en.wikipedia.org/wiki/File:David_Bathsheba.jpg,covers/1951_1_david_and_bathsheba.jpg,2026-05-12T03:30:31
1951,2,Show Boat,Metro-Goldwyn-Mayer,5200000,"$5,200,000",https://en.wikipedia.org/wiki/Show_Boat_(1951_film),https://en.wikipedia.org/wiki/List_of_1951_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1951,ok,Show Boat (1951 film),Showboat1951film.jpg,https://upload.wikimedia.org/wikipedia/en/0/02/Showboat1951film.jpg,https://upload.wikimedia.org/wikipedia/en/0/02/Showboat1951film.jpg,https://en.wikipedia.org/wiki/Show_Boat_%281951_film%29,https://en.wikipedia.org/wiki/File:Showboat1951film.jpg,covers/1951_2_show_boat.jpg,2026-05-12T03:30:31
1951,3,An American in Paris,Metro-Goldwyn-Mayer,4500000,"$4,500,000",https://en.wikipedia.org/wiki/An_American_in_Paris_(film),https://en.wikipedia.org/wiki/List_of_1951_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1951,ok,An American in Paris (film),An American in Paris (1951 film poster).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/An_American_in_Paris_%281951_film_poster%29.jpg/250px-An_American_in_Paris_%281951_film_poster%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/An_American_in_Paris_%281951_film_poster%29.jpg/250px-An_American_in_Paris_%281951_film_poster%29.jpg,https://en.wikipedia.org/wiki/An_American_in_Paris_%28film%29,https://en.wikipedia.org/wiki/File:An_American_in_Paris_%281951_film_poster%29.jpg,covers/1951_3_an_american_in_paris.jpg,2026-05-12T03:30:31
1951,4,The Great Caruso,Metro-Goldwyn-Mayer,4500000,"$4,500,000",https://en.wikipedia.org/wiki/The_Great_Caruso,https://en.wikipedia.org/wiki/List_of_1951_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1951,ok,The Great Caruso,Great caruso (1951).jpeg,https://upload.wikimedia.org/wikipedia/en/e/e0/Great_caruso_%281951%29.jpeg,https://upload.wikimedia.org/wikipedia/en/e/e0/Great_caruso_%281951%29.jpeg,https://en.wikipedia.org/wiki/The_Great_Caruso,https://en.wikipedia.org/wiki/File:Great_caruso_%281951%29.jpeg,covers/1951_4_the_great_caruso.jpg,2026-05-12T03:30:31
1951,5,A Streetcar Named Desire,Warner Bros.,4250000,"$4,250,000",https://en.wikipedia.org/wiki/A_Streetcar_Named_Desire_(1951_film),https://en.wikipedia.org/wiki/List_of_1951_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1951,ok,A Streetcar Named Desire (1951 film),A Streetcar Named Desire (1951).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/A_Streetcar_Named_Desire_%281951%29.jpg/250px-A_Streetcar_Named_Desire_%281951%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/A_Streetcar_Named_Desire_%281951%29.jpg/250px-A_Streetcar_Named_Desire_%281951%29.jpg,https://en.wikipedia.org/wiki/A_Streetcar_Named_Desire_%281951_film%29,https://en.wikipedia.org/wiki/File:A_Streetcar_Named_Desire_%281951%29.jpg,covers/1951_5_a_streetcar_named_desire.jpg,2026-05-12T03:30:31
1951,6,Born Yesterday,Columbia Pictures,4150000,"$4,150,000",https://en.wikipedia.org/wiki/Born_Yesterday_(1950_film),https://en.wikipedia.org/wiki/List_of_1951_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1951,ok,Born Yesterday (1950 film),Born Yesterday (1950 poster).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Born_Yesterday_%281950_poster%29.jpg/250px-Born_Yesterday_%281950_poster%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Born_Yesterday_%281950_poster%29.jpg/250px-Born_Yesterday_%281950_poster%29.jpg,https://en.wikipedia.org/wiki/Born_Yesterday_%281950_film%29,https://en.wikipedia.org/wiki/File:Born_Yesterday_%281950_poster%29.jpg,covers/1951_6_born_yesterday.jpg,2026-05-12T03:30:31
1951,7,That's My Boy,Paramount Pictures,3800000,"$3,800,000",https://en.wikipedia.org/wiki/That%27s_My_Boy_(1951_film),https://en.wikipedia.org/wiki/List_of_1951_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1951,ok,That's My Boy (1951 film),Thatsmyboy.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Thatsmyboy.jpg/250px-Thatsmyboy.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Thatsmyboy.jpg/250px-Thatsmyboy.jpg,https://en.wikipedia.org/wiki/That%27s_My_Boy_%281951_film%29,https://en.wikipedia.org/wiki/File:Thatsmyboy.jpg,covers/1951_7_that_s_my_boy.jpg,2026-05-12T03:30:31
1951,8,A Place in the Sun,Paramount Pictures,3500000,"$3,500,000",https://en.wikipedia.org/wiki/A_Place_in_the_Sun_(1951_film),https://en.wikipedia.org/wiki/List_of_1951_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1951,ok,A Place in the Sun (1951 film),A Place in the Sun (1951 poster).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/A_Place_in_the_Sun_%281951_poster%29.jpg/250px-A_Place_in_the_Sun_%281951_poster%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/A_Place_in_the_Sun_%281951_poster%29.jpg/250px-A_Place_in_the_Sun_%281951_poster%29.jpg,https://en.wikipedia.org/wiki/A_Place_in_the_Sun_%281951_film%29,https://en.wikipedia.org/wiki/File:A_Place_in_the_Sun_%281951_poster%29.jpg,covers/1951_8_a_place_in_the_sun.jpg,2026-05-12T03:30:31
1951,9,At War with the Army,Paramount Pictures,3350000,"$3,350,000",https://en.wikipedia.org/wiki/At_War_with_the_Army,https://en.wikipedia.org/wiki/List_of_1951_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1951,ok,At War with the Army,Atwarwiththearmy.jpg,https://upload.wikimedia.org/wikipedia/en/5/5a/Atwarwiththearmy.jpg,https://upload.wikimedia.org/wikipedia/en/5/5a/Atwarwiththearmy.jpg,https://en.wikipedia.org/wiki/At_War_with_the_Army,https://en.wikipedia.org/wiki/File:Atwarwiththearmy.jpg,covers/1951_9_at_war_with_the_army.jpg,2026-05-12T03:30:31
1951,10,Father's Little Dividend,Metro-Goldwyn-Mayer,3100000,"$3,100,000",https://en.wikipedia.org/wiki/Father%27s_Little_Dividend,https://en.wikipedia.org/wiki/List_of_1951_box_office_number-one_films_in_the_United_States,Highest-grossing films of 1951,ok,Father's Little Dividend,Father's Little Dividend.jpg,https://upload.wikimedia.org/wikipedia/en/2/2c/Father%27s_Little_Dividend.jpg,https://upload.wikimedia.org/wikipedia/en/2/2c/Father%27s_Little_Dividend.jpg,https://en.wikipedia.org/wiki/Father%27s_Little_Dividend,https://en.wikipedia.org/wiki/File:Father%27s_Little_Dividend.jpg,covers/1951_10_father_s_little_dividend.jpg,2026-05-12T03:30:31
